"filename", "language", "Vue", "JavaScript", "YAML", "XML", "SCSS", "CSS", "comment", "blank", "total"
"g:\MyVue\vue-element-admin\src\icons\svg\education.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\email.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\example.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\excel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\exit-fullscreen.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\eye.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\form.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\formular.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\formularmanage.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\fullscreen.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\guide.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\international.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\language.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\link.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\list.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\lock.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\mapping.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\message.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\money.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\nested.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\num1.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\num2.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\num3.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\num4.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\num5.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\password.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\pdf.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\people.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\peoples.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\qq.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\report.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\salary-icon.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\scale.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\scale_white.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\search.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\shopping.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\size.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\skill.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\star.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\tab.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\table.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\theme.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\tree-table.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\tree.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\user.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\users.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 2
"g:\MyVue\vue-element-admin\src\icons\svg\wechat.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svg\zip.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\MyVue\vue-element-admin\src\icons\svgo.yml", "YAML", 0, 0, 5, 0, 0, 0, 13, 5, 23
"g:\MyVue\vue-element-admin\src\layout\components\AppMain.vue", "Vue", 53, 0, 0, 0, 0, 0, 3, 7, 63
"g:\MyVue\vue-element-admin\src\layout\components\Navbar.vue", "Vue", 151, 0, 0, 0, 0, 0, 0, 19, 170
"g:\MyVue\vue-element-admin\src\layout\components\Settings\index.vue", "Vue", 135, 0, 0, 0, 0, 0, 1, 6, 142
"g:\MyVue\vue-element-admin\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 0, 24, 0, 0, 0, 0, 2, 1, 27
"g:\MyVue\vue-element-admin\src\layout\components\Sidebar\Item.vue", "Vue", 38, 0, 0, 0, 0, 0, 5, 4, 47
"g:\MyVue\vue-element-admin\src\layout\components\Sidebar\Link.vue", "Vue", 42, 0, 0, 0, 0, 0, 1, 3, 46
"g:\MyVue\vue-element-admin\src\layout\components\Sidebar\Logo.vue", "Vue", 78, 0, 0, 0, 0, 0, 1, 9, 88
"g:\MyVue\vue-element-admin\src\layout\components\Sidebar\SidebarItem.vue", "Vue", 84, 0, 0, 0, 0, 0, 6, 7, 97
"g:\MyVue\vue-element-admin\src\layout\components\Sidebar\index.vue", "Vue", 51, 0, 0, 0, 0, 0, 1, 3, 55
"g:\MyVue\vue-element-admin\src\layout\components\TagsView\ScrollPane.vue", "Vue", 81, 0, 0, 0, 0, 0, 4, 10, 95
"g:\MyVue\vue-element-admin\src\layout\components\TagsView\index.vue", "Vue", 280, 0, 0, 0, 0, 0, 16, 7, 303
"g:\MyVue\vue-element-admin\src\layout\components\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"g:\MyVue\vue-element-admin\src\layout\components\notification\index.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 1, 4
